P_INV_ORGANIZATION_ID|INVENTORY_ITEM_ID|ORGANIZATION_ID|ORGANIZATION_CODE|BUSINESS_UNIT_ID|BUSINESS_UNIT_NAME|LEGAL_ENTTITY_ID|MASTER_ORG_ID|ITEM_CLASS|ITEM_NUMBER|ITEM_DESCRIPTION|PRIMARY_TRANSACTION_QUANTITY|APPROVAL_STATUS|ITEM_STATUS|PRIMARY_UOM_VAL|VERSION_ID|INVENTORY_ITEM_FLAG|STOCK_ENABLED_FLAG|DIMENSION_UOM|UNIT_WIDTH_QUANTITY|UNIT_LENGTH_QUANTITY|UNIT_HEIGHT_QUANTITY|WEIGHT_UOM|UNIT_WEIGTH_QUANTITY|VOLUME_UOM|UNIT_VOLUME_QUANTITY|CUSTOMER_ORDER_FLAG|CUSTOMER_ORDER_ENABLED_FLAG|SHIPPABLE_FLAG|INVOICED_FLAG|CREATION_DATE|LAST_UPDATE_DATE|CREATED_BY|LAST_UPDATED_BY|ITEM_STATUS_NAME|ITEM_STATUS_DESCRIPTION|PURCHASING_ITEM_FLAG|PURCHASING_ENABLED_FLAG|CATEGORY_NAME
300000465166724|100000094049620|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1016|SERV_FLETES_POR_TRANSFERENCIAS_CEDIS|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:37.648+00:00|2022-03-09T04:46:29.233+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049611|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1007|SERV_FUMIGACION|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:36.632+00:00|2022-03-09T04:46:27.901+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049629|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1025|SERV_LIMPIEZA_OFICINAS|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:34.774+00:00|2022-03-09T04:46:25.040+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049653|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1049|SERV_CELULARES|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:39.605+00:00|2022-03-09T04:46:29.036+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049641|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1037|SERV_MANTENIMIENTO_DECORACION|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:36.614+00:00|2022-03-09T04:46:28.741+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049632|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1028|SERV_OTROS_ARRENDAMIENTOS|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:37.440+00:00|2022-03-09T04:46:28.252+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049608|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1004|SERV_MANIOBRAS|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:35.065+00:00|2022-03-09T04:46:25.165+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049671|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1067|SERV_HONORARIOS_GESTIORIA|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:35.843+00:00|2022-03-09T04:46:25.444+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049677|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1073|SERV_SEGURO_DE_AUTOS|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:37.274+00:00|2022-03-09T04:46:28.563+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049614|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1010|SERV_SEGURO_DE_GASTOS_MEDICOS_MAYORES|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:35.059+00:00|2022-03-09T04:46:27.648+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049647|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1043|SERV_MANTENIMIENTO_COMUNES|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:36.617+00:00|2022-03-09T04:46:35.116+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049605|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1001|SERV_DIESEL_EN_RUTA|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:34.606+00:00|2022-03-09T04:46:34.274+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049635|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1031|SERV_RENTAS_PUBLICIDAD|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:34.055+00:00|2022-03-09T04:46:27.181+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049626|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1022|SERV_RECOLECCION_DE_BASURA|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:34.803+00:00|2022-03-09T04:46:34.339+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049656|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1052|SERV_IMPUESTOS|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:36.523+00:00|2022-03-09T04:46:28.247+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
300000465166724|100000094049668|300000465166724|ALS|300000465216591|001_MEX_ALSEA|300000491213391|300000010872019|300000007493375|SER1064|SERV_PV_AUDITORIAS_DE_CALIDAD|0|A|"NO INV"|SER|-1|N|N|N/A|0|0|0|N/A|0|N/A|0|N|N|N|N|2022-03-09T04:45:37.927+00:00|2022-03-09T04:46:35.563+00:00|xmigracion|xmigracion|"No Inventariable"|"NO Stockeable, Comprable, NO Vendible, NO Ordenable Internamente, NO Facturable"|Y|Y|"Sin Categoria"
